course_id,course_name_en,course_name_th,course_abbrev,credit
2102383,ELECTRONIC CIRCUIT LABORATORY,ปฎิบัติการวงจรอิเลคทรอนิกส์,ETRON CCT LAB,1
2102384,ELECTRONICS LABORATORY,ปฏิบัติการอิเล็กทรอนิกส์,ETRON LAB,1
2102384,ELECTRONICS LABORATORY,ปฏิบัติการอิเล็กทรอนิกส์,ETRON LAB,1
2102385,SEMICONDUCTOR DEVICES I,สิ่งประดิษฐ์สารกึ่งตัวนำ 1,SEMICON DEV I,3
2102385,SEMICONDUCTOR DEVICES I,สิ่งประดิษฐ์สารกึ่งตัวนำ 1,SEMICON DEV I,3
2102444,INTRODUCTION TO EMBEDDED SYSTEMS,ระบบฝังตัวเบื้องต้น,INTRO EMBED SYS,3
2102461,ELECTRICAL POWER SYSTEMS II,\N,ELEC POWER SYS II,3
2103105,ENGINEERING DRAWING FUNDAMENTAL,พื้นฐานการเขียนแบบวิศวกรรม,ENG DRAW FUND,2
2103106,ENGINEERING DRAWING,การเขียนแบบวิศวกรรม,ENG DRAWING,3
2103204,DESCRIPTIVE GEOMETRY,เรขาคณิตพรรณนา,DES GEOMETRY,2
2103213,ENGINEERING MECHANICS I,กลศาสตร์วิศวกรรม 1,ENG MECHANICS I,3
2103393,MECHANICAL ENGINEERING LABORATORY FOR NON ME,ปฏิบัติการวิศวกรรมเครื่องกลสำหรับนิสิตไม่ใช่เครื่องกล,ME LAB NON ME,1
2103393,MECHANICAL ENGINEERING LABORATORY FOR NON ME,ปฏิบัติการวิศวกรรมเครื่องกลสำหรับนิสิตไม่ใช่เครื่องกล,ME LAB NON ME,1
2103393,MECHANICAL ENGINEERING LABORATORY FOR NON ME,\N,ME LAB NON ME,1
2103393,MECHANICAL ENGINEERING LABORATORY FOR NON-ME,ปฏิบัติการวิศวกรรมเครื่องกลสำหรับนิสิตไม่ใช่เครื่องกล,ME LAB NON ME,1
2104121,INTRODUCTION TO MANUFACTURING PROCESSES,กระบวนการผลิตเบื้องต้น,INTRO MFG PROC,3
2104203,ENGINEERING MANAGEMENT,การบริหารทางวิศวกรรม,ENG MANAGEMENT,3
2104221,MANUFACTURING PROCESSES,กระบวนการผลิต,MFG PROC,3
2104221,MANUFACTURING PROCESSES,กระบวนการผลิต,MFG PROC,3
2104223,ENGINEERING STATISTICS I,สถิติสำหรับงานวิศกรรม 1,ENG STAT I,3
2104225,ENGINEERING ECONOMY,เศรษฐศาสตร์วิศวกรรม,ENG ECON,3
2104225,ENGINEERING ECONOMY,เศรษฐศาสตร์วิศวกรรม,ENG ECON,3
2104684,TECHNOLOGY AND INNOVATION MANAGEMENT,การบริหารจัดการเทคโนโลยีและนวัตกรรม,TECH INNO MGT,3
2105599,BATCH CHEMICAL PROCESSES,กระบวนการเคมีแบบแบตช์,BAT CHEM PROC,3
2105601,ADVANCED ENGINEERING MATHEMATICS FOR CHEMICAL ENGINEERS,\N,ADV MATH FOR CHE,3
2105602,ADVANCED TRANSPORT PHENOMENA,\N,ADV TRANS PHENOM,3
2105619,ADVANCED AUTOMATIC PROCESS CONTROL,การควบคุมกระบวนการอัตโนมัติขั้นสูง,ADV AUTO PROC CON,3
2105624,COMPUTER PROCESS CONTROL,การควบคุมกระบวนการโดยใช้คอมพิวเตอร์,COMP PROC CONTROL,3
2105628,PROCESS CONTROL INSTRUMENTATION,การอุปกรณ์ของการควบคุมกระบวนการ,PROC CON INSTRU,3
2105631,ADVANCED CATALYSTS FOR POLYMERS,ตัวเร่งปฏิกิริยาขั้นสูงสำหรับพอลิเมอร์,ADV CAT POLYMERS,3
2105636,HETEROGENEOUS CATALYSIS,ปฎิกริยาที่ใช้ตัวเร่งปฎิกิริยาแบบวิวิธพันธุ์,HETERO CATALYSIS,3
2105637,DESIGN OF INDUSTRIAL CATALYSTS,การออกแบบตัวเร่งปฎิกิริยาที่ใช้ในทางอุตสาหกรรม,DSGN IND CATALYSTS,3
2105675,POLYMER CHEMISTRY FOR ENGINEERS,เคมีพอลิเมอร์สำหรับวิศวกร,POLYM CHEM ENG,3
2105678,INTRODUCTION TO NANOTECHNOLOGY,ความรู้เบื้องต้นเกี่ยวกับนาโนเทคโนโลยี,INTRO NANOTECH,3
2105681,CATALYST DEACTIVATION,การเสื่อมของตัวเร่งปฏิกิริยา,CAT DEACTIVATION,3
2105717,SEMINAR IN CHEMICAL ENGINEERING III,สัมมนาวิศวกรรมเคมี 3,SEMINAR CHE III,1
2105718,SEMINAR IN CHEMICAL ENGINEERING IV,สัมมนาวิศวกรรมเคมี 4,SEMINAR CHE IV,1
2105828,DISSERTATION,วิทยานิพนธ์,DISSERTATION,48
2105894,DOCTORAL DISSERTATION SEMINAR,สัมมนาวิทยานิพนธ์ระดับดุษฎีบัณฑิต,DOC DISSERT SEM,0
2105897,QUALIFYING EXAMINATION,การสอบวัดคุณสมบัติ,QUALIFYING EXAM,0
2106208,CHEMICAL FOR MATERIALS,เคมีสำหรับวัสดุ,CHEM MAT,3
2106209,CHEMICAL FOR MATERIALS LAB,ปฏิบัติการเคมีสำหรับวัสดุ,CHEM MAT LAB,1
2106222,FUNDAMENTAL OF GEORESOURCES ENGINEERING,พื้นฐานวิศวกรรมทรัพยากรธรณี,FUND GE,1
2106251,GENERAL GEOLOGY,\N,GENERAL GEOLOGY,3
2106252,MINERALS AND ROCKS,แร่และหิน,MINERALS/ROCKS,3
2106296,ENGINEERING GEOLOGY,วิศวกรรมธรณีวิทยา,ENGINEER GEOLOGY,3
2106315,MINING ENGINEERING LABORATORY,ปฏิบัติการวิศวกรรมเหมืองแร่,MIN ENG LAB,1
2106315,MINING ENGINEERING LABORATORY,ปฏิบัติการวิศวกรรมเหมืองแร่,MIN ENG LAB,1
2106315,MINING ENGINEERING LABORATORY,ปฏิบัติการวิศวกรรมเหมืองแร่,MIN ENG LAB,1
2106316,SURFACE MINING,การทำเหมืองผิวดิน,SUR MIN,3
